Núm. Archivo: 35
Nombre: TAJ_VAQ_C0
Fecha: 6/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F23RAZA()notID;C32PESO(##########)notID;C23INSCRIPTA()notID
IDE;IDV;Fecha;Hora;RAZA;PESO;INSCRIPTA
991 005003485649;0184;6/9/2022;14:31:11;BRANGUS C;;SI
991 005003485661;068;6/9/2022;14:36:16;BRANGUS C;;SI
991 005003485637;AG40;6/9/2022;14:38:00;BRANGUS C;;NO
991 005003485666;AF55;6/9/2022;14:39:17;BRAFORD;;NO
991 005003485676;082;6/9/2022;14:41:14;BRANGUS C;;SI
991 005003485685;062;6/9/2022;14:43:00;BRANGUS C;;SI
991 005003485641;AG49;6/9/2022;14:44:19;BRAFORD;;NO
991 005003485677;AG77;6/9/2022;14:45:18;BRHAMAN;;NO
991 005003485669;0194;6/9/2022;14:50:34;BRANGUS C;;SI
991 005003485647;AG81;6/9/2022;14:51:31;BRANGUS C;;NO
991 005003485683;AG48;6/9/2022;14:54:16;BRAFORD;;NO
991 005003485667;AG83;6/9/2022;14:55:14;BRHAMAN;;NO
991 005003485636;AG46;6/9/2022;14:56:14;BRHAMAN;;NO
991 005003485673;;6/9/2022;14:57:17;BRAFORD;;NO
991 005003485643;AG93;6/9/2022;14:57:41;BRANGUS C;;NO
991 005003485675;AG87;6/9/2022;15:00:23;BRANGUS N;;NO
991 005003485678;0121;6/9/2022;15:01:39;BRANGUS C;;SI
991 005003485672;AF06;6/9/2022;15:02:28;BRANGUS C;;NO
991 005003485691;067;6/9/2022;15:03:55;BRANGUS C;;SI
991 005003485687;0128;6/9/2022;15:06:39;BRANGUS C;;SI
991 005003485706;AG45;6/9/2022;15:07:36;BRANGUS C;;NO
991 005003485693;AG75;6/9/2022;15:11:02;BRAFORD;;NO
991 005003485723;0141;6/9/2022;15:11:58;BRANGUS C;;SI
991 005003485703;087;6/9/2022;15:13:33;BRANGUS C;;SI
991 005003485697;AG90;6/9/2022;15:16:34;BRAFORD;;NO
991 005003485728;AF04;6/9/2022;15:18:38;BRANGUS C;;NO
991 005003485688;AG43;6/9/2022;15:20:28;BRAFORD;;NO
991 005003485710;0198;6/9/2022;15:21:57;BRANGUS C;;SI
991 005003485729;AG80;6/9/2022;15:22:37;BRHAMAN;;NO
991 005003485732;AG91;6/9/2022;15:26:00;BRHAMAN;;NO
991 005003485713;AG78;6/9/2022;15:27:32;BRHAMAN;;NO
991 005003485716;AG96;6/9/2022;15:28:14;BRAFORD;;NO
991 005003485702;0169;6/9/2022;15:28:59;BRANGUS C;;SI
991 005003485734;AG82;6/9/2022;15:29:36;BRAFORD;;NO
991 005003485724;0123;6/9/2022;15:30:34;BRANGUS C;;SI
991 005003485704;AG47;6/9/2022;15:31:28;BRANGUS C;;NO
991 005003485696;AG94;6/9/2022;15:32:38;BRANGUS C;;NO
991 005003485686;086;6/9/2022;15:35:34;BRANGUS C;;SI
991 005003485699;0154;6/9/2022;15:36:14;BRANGUS C;;SI
991 005003485719;083;6/9/2022;15:36:54;BRANGUS C;;SI
991 005003485717;AG84;6/9/2022;15:41:56;BRANGUS C;;NO
991 005003485695;087;6/9/2022;15:43:40;BRANGUS C;;SI
991 005003485698;0143;6/9/2022;15:44:26;BRANGUS C;;SI
991 005003485692;043;6/9/2022;15:45:26;BRANGUS C;;SI
991 005003485735;AG88;6/9/2022;15:45:49;BRAFORD;;NO
991 005003485725;AF27;6/9/2022;15:46:36;BRANGUS C;;NO
991 005003485694;078;6/9/2022;15:47:27;BRANGUS C;;SI
991 005003485721;AF92;6/9/2022;15:48:56;BRANGUS C;;NO
991 005003485727;084;6/9/2022;15:50:28;BRANGUS C;;SI
991 005003485715;AG76;6/9/2022;15:51:12;BRAFORD;;NO
991 005003485707;;6/9/2022;15:54:01;BRANGUS C;;NO
991 005003485731;AG41;6/9/2022;15:54:13;BRAFORD;;NO
991 005003485726;073;6/9/2022;15:55:35;BRANGUS C;;SI
991 005003485733;0215;6/9/2022;15:56:39;BRANGUS C;;SI
991 005003485711;AF14;6/9/2022;15:59:17;BRAFORD;;NO
991 005003485705;097;6/9/2022;16:00:19;BRANGUS C;;SI
991 005003485722;AG97;6/9/2022;16:00:53;BRHAMAN;;NO
