Núm. Archivo: 36
Nombre: PLANT_VAQC0
Fecha: 7/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F23RAZA()notID;C32PESO(##########)notID;C23INSCRIPTA()notID;F34FECHA NAC.(d/M/yyyy)notID;C73UBICACION()notID
IDE;IDV;Fecha;Hora;RAZA;PESO;INSCRIPTA;FECHA NAC.;UBICACION
991 005003486661;AK15;7/9/2022;10:14:03;BRHAMAN;;NO;;
991 005003486655;064;7/9/2022;10:14:45;BRANGUS C;;SI;;
991 005003486657;063;7/9/2022;10:15:46;BRANGUS C;324;SI;;
991 005003486683;AK16;7/9/2022;10:16:36;BRAFORD;236;NO;;
991 005003486645;053;7/9/2022;10:17:37;BRANGUS C;262;SI;;
991 005003486644;AK14;7/9/2022;10:18:20;BRAFORD;298;NO;;
991 005003486642;AK17;7/9/2022;10:21:15;BRANGUS C;306;NO;;
991 005003486640;AK18;7/9/2022;10:22:26;BRAFORD;326;NO;;
991 005003486678;AK19;7/9/2022;10:23:20;BRAFORD;314;NO;;
991 005003486638;AK20;7/9/2022;10:24:02;BRANGUS C;;NO;;
991 005003486682;AK21;7/9/2022;10:39:55;BRHAMAN;316;NO;;
991 005003486643;AK22;7/9/2022;10:42:45;BRAFORD;242;NO;;
991 005003486669;AK23;7/9/2022;10:44:05;BRAFORD;240;NO;;
991 005003486672;AK24;7/9/2022;10:44:30;BRAFORD;256;NO;;
991 005003486679;AH78;7/9/2022;10:46:01;BRANGUS C;314;NO;;
991 005003486636;AH75;7/9/2022;10:48:37;BRANGUS C;296;NO;;
991 005003486646;AH76;7/9/2022;10:50:37;BRHAMAN;290;NO;;
991 005003486684;AH77;7/9/2022;10:51:49;BRAFORD;356;NO;;
991 005003486660;AH79;7/9/2022;10:59:46;BRAFORD;220;NO;;
991 005003486673;AH80;7/9/2022;11:00:26;BRHAMAN;248;NO;;
991 005003486641;0214;7/9/2022;11:01:02;BRANGUS C;300;SI;;
991 005003486681;AH81;7/9/2022;11:01:43;BRANGUS C;302;NO;;
991 005003486685;084;7/9/2022;11:03:02;BRANGUS C;288;SI;;
991 005003486670;AG82;7/9/2022;11:03:28;BRHAMAN;264;NO;;
991 005003486665;AH83;7/9/2022;11:04:31;BRAFORD;326;NO;;
991 005003486647;AH84;7/9/2022;11:08:16;BRAFORD;310;NO;;
991 005003486680;AH85;7/9/2022;11:10:22;BRANGUS C;348;NO;;
991 005003486650;AH86;7/9/2022;11:11:07;BRAFORD;298;NO;;
991 005003486659;AH87;7/9/2022;11:11:50;BRAFORD;310;NO;;
991 005003486656;AH88;7/9/2022;11:14:19;BRHAMAN;286;NO;;
991 005003486676;AH89;7/9/2022;11:15:18;BRAFORD;314;NO;;
991 005003486666;AH90;7/9/2022;11:17:43;BRANGUS C;292;NO;;
991 005003486674;057;7/9/2022;14:03:50;BRANGUS C;276;SI;;
991 005003486639;032;7/9/2022;14:04:48;BRANGUS C;362;SI;;
991 005003486667;AH91;7/9/2022;14:05:40;BRHAMAN;282;NO;;
991 005003486654;054;7/9/2022;14:06:27;BRANGUS C;306;SI;;
991 005003486662;AH29;7/9/2022;14:07:19;BRAFORD;262;NO;;
991 005003486648;AH93;7/9/2022;14:08:46;BRAFORD;312;NO;;
991 005003486668;AH94;7/9/2022;14:10:09;;308;NO;;
991 005003486652;AH95;7/9/2022;14:11:16;BRANGUS C;226;NO;;
991 005003486637;AH96;7/9/2022;14:12:20;BRANGUS C;312;NO;;
991 005003486664;AH97;7/9/2022;14:13:41;BRAFORD;272;NO;;
991 005003486671;AH98;7/9/2022;14:15:13;BRAFORD;324;NO;;
991 005003486653;AH99;7/9/2022;14:16:57;BRAFORD;326;NO;;
991 005003486651;AH01;7/9/2022;14:18:00;BRANGUS C;308;NO;;
991 005003486677;AH00;7/9/2022;14:21:20;BRANGUS C;246;NO;;
991 005003486649;AH02;7/9/2022;14:22:13;BRAFORD;290;NO;;
991 005003486663;0147;7/9/2022;14:26:21;BRANGUS C;334;SI;;
991 005003486675;095;7/9/2022;14:27:11;BRANGUS C;284;SI;;
991 005003486658;AH03;7/9/2022;14:28:22;BRANGUS C;214;NO;;
991 005003486686;AH04;7/9/2022;14:29:22;BRANGUS C;288;NO;;
991 005003486699;AH05;7/9/2022;14:31:30;BRAFORD;320;NO;;
991 005003486714;AH06;7/9/2022;14:33:02;BRANGUS C;304;NO;;
991 005003486701;AH07;7/9/2022;14:34:48;BRANGUS C;342;NO;;
991 005003486712;091;7/9/2022;14:35:38;BRANGUS C;330;SI;;
991 005003486690;0152;7/9/2022;14:36:39;BRANGUS C;270;SI;;
991 005003486697;AH08;7/9/2022;14:39:57;BRANGUS C;250;NO;;
991 005003486688;0142;7/9/2022;14:40:54;BRANGUS C;306;SI;;
991 005003486724;AH09;7/9/2022;14:41:40;BRAFORD;258;NO;;
991 005003486692;AH10;7/9/2022;14:42:59;BRAFORD;308;NO;;
991 005003486698;AH11;7/9/2022;14:44:21;BRANGUS C;274;NO;;
991 005003486689;AH12;7/9/2022;14:47:56;BRHAMAN;296;NO;;
991 005003486710;0164;7/9/2022;14:48:44;BRANGUS C;294;SI;;
991 005003486687;1;7/9/2022;14:49:29;BRANGUS C;260;SI;;
991 005003486716;AH13;7/9/2022;14:50:36;BRAFORD;246;NO;;
991 005003486711;AH14;7/9/2022;14:51:59;BRHAMAN;286;NO;;
991 005003486695;AH15;7/9/2022;14:54:04;BRAFORD;260;NO;;
991 005003486735;AH16;7/9/2022;14:55:00;BRHAMAN;256;NO;;
991 005003486731;AH17;7/9/2022;15:00:47;BRANGUS C;332;NO;;
991 005003486719;AH18;7/9/2022;15:03:25;BRANGUS C;330;NO;;
991 005003486725;038;7/9/2022;15:04:01;BRANGUS C;344;SI;;
991 005003486706;045;7/9/2022;15:05:04;BRANGUS C;312;SI;;
991 005003486728;AAHH19;7/9/2022;15:06:16;BRAFORD;224;NO;;
991 005003486717;AH20;7/9/2022;15:07:10;BRHAMAN;286;NO;;
991 005003486694;069;7/9/2022;15:09:11;BRANGUS C;298;SI;;
991 005003486721;049;7/9/2022;15:09:55;BRANGUS C;300;SI;;
991 005003486729;AH21;7/9/2022;15:10:40;BRAFORD;254;NO;;
991 005003486732;061;7/9/2022;15:11:47;BRANGUS C;290;SI;;
991 005003486722;0156;7/9/2022;15:12:46;BRANGUS C;344;SI;;
991 005003486733;AH23;7/9/2022;15:15:49;BRHAMAN;308;NO;;
991 005003486723;096;7/9/2022;15:18:31;BRANGUS C;332;SI;;
991 005003486713;AH23;7/9/2022;15:19:49;BRHAMAN;274;NO;;
991 005003486730;AH24;7/9/2022;15:21:09;BRAFORD;304;NO;;
991 005003486702;0113;7/9/2022;15:22:35;BRANGUS C;310;SI;;
991 005003486734;AH25;7/9/2022;15:23:05;BRAFORD;306;NO;;
