Núm. Archivo: 40
Nombre: FRENTE_1
Fecha: 15/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005003487036;1144;15/9/2022;15:25:50;30/8/2021;BRANGUS C;;SI;260
991 005003487080;1145;15/9/2022;15:28:32;30/8/2021;BRANGUS C;;SI;276
991 005003487069;AO02;15/9/2022;15:31:52;30/8/2021;BRANGUS C;;NO;258
991 005003487059;1146;15/9/2022;15:32:57;30/8/2021;BRANGUS C;;SI;260
991 005003487061;1147;15/9/2022;15:34:52;30/8/2021;BRANGUS C;;SI;244
991 005003487044;1148;15/9/2022;15:36:25;30/8/2021;BRANGUS C;;SI;260
991 005003487047;1149;15/9/2022;15:38:22;30/8/2021;BRANGUS C;;SI;240
991 005003487075;AO03;15/9/2022;15:39:51;30/8/2021;BRAFORD;;NO;256
991 005003487050;AO04;15/9/2022;15:41:01;30/8/2021;BRANGUS C;;NO;180
991 005003487070;1150;15/9/2022;15:43:05;30/8/2021;BRANGUS C;;SI;268
991 005003487073;1152;15/9/2022;15:44:40;30/8/2021;BRANGUS C;;SI;258
991 005003487049;AO06;15/9/2022;15:46:03;30/8/2021;BRANGUS C;;NO;254
991 005003487058;1153;15/9/2022;15:48:50;30/8/2021;BRANGUS C;;SI;272
991 005003487060;1154;15/9/2022;15:51:05;30/8/2021;BRANGUS C;;SI;294
991 005003487081;AO05;15/9/2022;15:52:53;30/8/2021;BRANGUS C;;NO;262
991 005003487065;1155;15/9/2022;15:53:42;30/8/2021;BRANGUS C;;SI;284
991 005003487074;1156;15/9/2022;15:55:13;30/8/2021;BRANGUS C;;SI;328
991 005003487066;AO07;15/9/2022;15:56:30;30/8/2021;BRANGUS C;;NO;274
991 005003487056;1157;15/9/2022;15:59:45;30/8/2021;BRANGUS C;;SI;320
991 005003487040;AO08;15/9/2022;16:00:37;30/8/2021;BRAFORD;;NO;242
991 005003487043;1158;15/9/2022;16:01:27;30/8/2021;BRANGUS C;;SI;282
991 005003487041;1159;15/9/2022;16:02:38;30/8/2021;BRANGUS C;;SI;262
991 005003487053;AO09;15/9/2022;16:04:14;30/8/2021;BRANGUS C;;NO;278
991 005003487045;AO010;15/9/2022;16:05:20;30/8/2021;BRAFORD;;NO;276
991 005003487077;AO011;15/9/2022;16:06:40;30/8/2021;BRANGUS C;;NO;244
991 005003487062;1160;15/9/2022;16:07:56;30/8/2021;BRANGUS C;;SI;284
991 005003487079;1162;15/9/2022;16:09:24;30/8/2021;BRANGUS C;;SI;264
991 005003487078;AO12;15/9/2022;16:11:46;30/8/2021;BRAFORD;;NO;264
991 005003487082;AO13;15/9/2022;16:12:51;30/8/2021;BRAFORD;;NO;286
991 005003487054;AO14;15/9/2022;16:14:14;30/8/2021;BRAFORD;;NO;288
991 005003487052;1163;15/9/2022;16:20:50;30/8/2021;BRANGUS C;;SI;248
991 005003487046;1164;15/9/2022;16:21:59;30/8/2021;BRANGUS C;;SI;262
991 005003487048;1165;15/9/2022;16:23:08;30/8/2021;BRANGUS C;;SI;240
991 005003487055;1166;15/9/2022;16:24:29;30/8/2021;BRANGUS C;;SI;250
991 005003487068;1167;15/9/2022;16:25:59;30/8/2021;BRANGUS C;;SI;278
991 005002439936;1168;15/9/2022;16:27:18;30/8/2021;BRANGUS C;;SI;232
991 005002439946;AO15;15/9/2022;16:38:29;30/8/2021;BRAFORD;;NO;296
991 005002439940;AO16;15/9/2022;16:40:30;30/8/2021;BRAFORD;;NO;346
991 005002439915;AO17;15/9/2022;16:41:37;30/8/2021;BRANGUS C;;NO;314
991 005002439938;AO18;15/9/2022;16:42:52;30/8/2021;BRAFORD;;NO;278
991 005002439957;AO19;15/9/2022;16:44:50;30/8/2021;BRAMAN;;NO;268
991 005002439939;AO20;15/9/2022;16:46:33;30/8/2021;BRAMAN;;NO;262
991 005002439945;1169;15/9/2022;16:50:38;30/8/2021;BRANGUS C;;SI;244
991 005002439944;1170;15/9/2022;16:53:13;30/8/2021;BRANGUS C;;SI;294
991 005002439950;1172;15/9/2022;16:55:17;30/8/2021;BRANGUS C;;SI;252
991 005002439943;AO21;15/9/2022;16:56:49;30/8/2021;BRAFORD;;NO;254
991 005002439934;AO22;15/9/2022;16:59:38;30/8/2021;BRAFORD;;NO;256
991 005002439955;1173;15/9/2022;17:00:48;30/8/2021;BRANGUS C;;SI;268
991 005002439930;1174;15/9/2022;17:02:06;30/8/2021;BRANGUS C;;SI;248
991 005002439941;AO23;15/9/2022;17:05:02;30/8/2021;BRANGUS C;;NO;234
991 005002439923;AO24;15/9/2022;17:06:06;30/8/2021;BRAFORD;;NO;262
991 005002439925;1175;15/9/2022;17:09:11;30/8/2021;BRANGUS C;;SI;292
991 005002439914;AL00;15/9/2022;17:10:47;30/8/2021;BRAMAN;;NO;240
991 005002439962;AL01;15/9/2022;17:12:16;30/8/2021;BRAFORD;;NO;254
991 005002439960;1176;15/9/2022;17:13:26;30/8/2021;BRANGUS C;;SI;278
991 005002439961;1177;15/9/2022;17:15:04;30/8/2021;BRANGUS C;;SI;258
991 005002439913;AL02;15/9/2022;17:16:21;30/8/2021;BRANGUS C;;NO;266
991 005002439928;1178;15/9/2022;17:19:33;30/8/2021;BRANGUS C;;SI;232
991 005002439931;1179;15/9/2022;17:20:42;30/8/2021;BRANGUS C;;SI;294
991 005002439926;1180;15/9/2022;17:22:18;30/8/2021;BRANGUS C;;SI;284
991 005002439932;AL03;15/9/2022;17:27:57;30/8/2021;BRAFORD;;NO;288
991 005002439920;1182;15/9/2022;17:28:49;30/8/2021;BRANGUS C;;SI;254
991 005002439919;1183;15/9/2022;17:30:43;30/8/2021;BRANGUS C;;SI;256
991 005002439953;1184;15/9/2022;17:33:46;30/8/2021;BRANGUS C;;SI;314
991 005002439935;1185;15/9/2022;17:37:06;30/8/2021;BRANGUS C;;SI;328
991 005002439922;AL04;15/9/2022;17:38:55;30/8/2021;BRANGUS C;;NO;202
991 005002439933;1186;15/9/2022;17:42:50;30/8/2021;BRANGUS C;;SI;254
991 005002439947;1187;15/9/2022;17:43:55;30/8/2021;BRANGUS C;;SI;256
991 005002439948;AL05;15/9/2022;17:44:58;30/8/2021;BRAFORD;;NO;266
991 005002439959;1188;15/9/2022;17:46:07;30/8/2021;BRANGUS C;;SI;312
991 005002439956;1189;15/9/2022;17:47:29;30/8/2021;BRANGUS C;;SI;278
991 005002439949;1190;15/9/2022;17:48:50;30/8/2021;BRANGUS C;;SI;244
991 005002439937;AL06;15/9/2022;17:51:35;30/8/2021;BRANGUS C;;NO;286
991 005002439927;AL07;15/9/2022;17:52:46;30/8/2021;BRAFORD;;NO;262
