Núm. Archivo: 42
Nombre: Sesion43
Fecha: 20/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005002440057;1204;20/9/2022;14:34:41;15/10/2021;BRANGUS C;;SI;216
991 005002440033;1205;20/9/2022;14:39:50;15/10/2021;BRANGUS C;;SI;208
991 005002440053;AN87;20/9/2022;14:40:56;15/10/2021;BRANGUS C;;NO;240
991 005002440027;1206;20/9/2022;14:45:36;15/10/2021;BRANGUS C;;SI;216
991 005002440036;1207;20/9/2022;14:46:51;15/10/2021;BRANGUS C;;SI;192
991 005002440013;1208;20/9/2022;14:48:40;15/10/2021;BRANGUS N;;SI;234
991 005002440038;1209;20/9/2022;14:50:06;15/10/2021;BRANGUS C;;SI;242
991 005002440054;1210;20/9/2022;14:53:09;15/10/2021;BRANGUS C;;SI;166
991 005002440029;AN88;20/9/2022;14:55:19;15/10/2021;BRAFORD;;NO;240
991 005002440058;1212;20/9/2022;14:58:54;15/10/2021;BRANGUS C;;SI;264
991 005002440017;AN92;20/9/2022;15:00:27;15/10/2021;BRANGUS C;;NO;208
991 005002440044;AN97;20/9/2022;15:01:42;15/10/2021;BRANGUS C;;NO;212
991 005002440026;1213;20/9/2022;15:03:00;15/10/2021;BRANGUS C;;SI;202
991 005002440019;AN89;20/9/2022;15:04:13;15/10/2021;BRANGUS C;;NO;246
991 005002440051;1214;20/9/2022;15:05:42;15/10/2021;BRANGUS C;;SI;214
991 005002440015;1215;20/9/2022;15:07:05;15/10/2021;BRANGUS C;;SI;220
991 005002440062;AN93;20/9/2022;15:10:19;15/10/2021;BRANGUS C;;NO;198
991 005002440052;1216;20/9/2022;15:12:00;15/10/2021;BRANGUS C;;SI;238
991 005002440050;1217;20/9/2022;15:13:10;15/10/2021;BRANGUS C;;SI;168
991 005002440022;1218;20/9/2022;15:14:57;15/10/2021;BRANGUS C;;SI;198
991 005002440028;1219;20/9/2022;15:16:14;15/10/2021;BRANGUS C;;SI;250
991 005002440023;1220;20/9/2022;15:17:31;15/10/2021;BRANGUS C;;SI;186
991 005002440034;1221;20/9/2022;15:19:07;15/10/2021;BRANGUS C;;SI;236
991 005002440039;1223;20/9/2022;15:20:44;15/10/2021;BRANGUS C;;SI;226
991 005002440030;1224;20/9/2022;15:22:34;15/10/2021;BRANGUS C;;SI;242
991 005002440032;1225;20/9/2022;15:25:56;15/10/2021;BRANGUS C;;SI;196
991 005002440048;AN94;20/9/2022;15:27:21;15/10/2021;BRANGUS C;;NO;210
991 005002440047;1226;20/9/2022;15:28:40;15/10/2021;BRANGUS C;;SI;216
991 005002440043;1227;20/9/2022;15:31:03;15/10/2021;BRANGUS C;;SI;188
991 005002440021;1228;20/9/2022;15:32:13;15/10/2021;BRANGUS C;;SI;212
991 005002440056;1229;20/9/2022;15:33:23;15/10/2021;BRANGUS C;;SI;236
991 005002440016;1230;20/9/2022;15:35:28;15/10/2021;BRANGUS N;;SI;228
991 005002440042;AN98;20/9/2022;15:36:48;15/10/2021;BRANGUS C;;NO;174
991 005002440049;1231;20/9/2022;15:42:43;15/10/2021;BRANGUS C;;SI;218
991 005002440060;1232;20/9/2022;15:45:23;15/10/2021;BRANGUS C;;SI;182
991 005002440031;1233;20/9/2022;15:46:50;15/10/2021;BRANGUS C;;SI;226
991 005002440035;1234;20/9/2022;15:48:07;15/10/2021;BRANGUS C;;SI;188
991 005002440055;1235;20/9/2022;15:49:38;15/10/2021;BRANGUS C;;SI;190
991 005002440018;1236;20/9/2022;15:52:22;15/10/2021;BRANGUS C;;SI;168
991 005002440024;AN99;20/9/2022;15:54:35;15/10/2021;BRANGUS C;;NO;238
991 005002440061;1237;20/9/2022;15:55:51;15/10/2021;BRANGUS C;;SI;156
991 005002440014;1238;20/9/2022;15:59:23;15/10/2021;BRANGUS C;;SI;260
991 005002440037;1239;20/9/2022;16:01:11;15/10/2021;BRANGUS C;;SI;232
991 005002440046;1240;20/9/2022;16:02:34;15/10/2021;BRANGUS C;;SI;180
991 005002440025;1241;20/9/2022;16:05:32;15/10/2021;BRANGUS C;;SI;252
991 005002440059;1242;20/9/2022;16:08:44;15/10/2021;BRANGUS C;;SI;218
991 005002440092;AN50;20/9/2022;16:09:33;15/10/2021;BRANGUS C;;NO;164
991 005002440100;AN51;20/9/2022;16:13:27;15/10/2021;BRANGUS N;;NO;242
991 005002440073;AN52;20/9/2022;16:15:14;15/10/2021;BRANGUS C;;NO;236
991 005002440111;1243;20/9/2022;16:16:28;15/10/2021;BRANGUS C;;SI;168
991 005002440107;1244;20/9/2022;16:18:06;15/10/2021;BRANGUS C;;SI;250
991 005002440089;1245;20/9/2022;16:19:47;15/10/2021;BRANGUS C;;SI;152
991 005002440081;1246;20/9/2022;16:21:01;15/10/2021;BRANGUS C;;SI;190
991 005002440063;AN53;20/9/2022;16:23:53;15/10/2021;BRANGUS C;;NO;170
991 005002440098;1247;20/9/2022;16:25:58;15/10/2021;BRANGUS C;;SI;226
991 005002440065;AN54;20/9/2022;16:36:03;15/10/2021;BRAMAN;;NO;198
991 005002440099;1248;20/9/2022;16:37:19;15/10/2021;BRANGUS C;;SI;186
991 005002440071;1249;20/9/2022;16:39:58;15/10/2021;BRANGUS C;;SI;210
991 005002440103;1250;20/9/2022;16:42:17;15/10/2021;BRANGUS C;;SI;238
991 005002440067;1251;20/9/2022;16:44:02;15/10/2021;BRANGUS C;;SI;198
991 005002440072;1252;20/9/2022;16:45:44;15/10/2021;BRANGUS C;;SI;236
991 005002440094;1253;20/9/2022;16:59:08;15/10/2021;BRANGUS C;;SI;196
991 005002440077;1254;20/9/2022;17:00:14;15/10/2021;BRANGUS C;;SI;156
991 005002440110;1255;20/9/2022;17:03:19;15/10/2021;BRANGUS C;;SI;230
991 005002440080;1256;20/9/2022;17:04:43;15/10/2021;BRANGUS C;;SI;198
991 005002440074;1257;20/9/2022;17:07:38;15/10/2021;BRANGUS C;;SI;190
991 005002440076;1258;20/9/2022;17:09:23;15/10/2021;BRANGUS C;;SI;234
991 005002440066;1259;20/9/2022;17:11:00;15/10/2021;BRANGUS C;;SI;216
991 005002440088;1260;20/9/2022;17:12:55;15/10/2021;BRANGUS C;;SI;212
991 005002440109;AN55;20/9/2022;17:14:10;15/10/2021;BRANGUS C;;NO;192
991 005002440108;1261;20/9/2022;17:18:35;15/10/2021;BRANGUS C;;SI;200
991 005002440069;1262;20/9/2022;17:19:30;15/10/2021;BRANGUS C;;SI;228
991 005002440097;1263;20/9/2022;17:21:25;15/10/2021;BRANGUS C;;SI;198
991 005002440102;1264;20/9/2022;17:23:21;15/10/2021;BRANGUS C;;SI;194
991 005002440083;AN56;20/9/2022;17:25:38;15/10/2021;BRANGUS C;;NO;186
991 005002440086;1265;20/9/2022;17:27:46;15/10/2021;BRANGUS C;;SI;166
991 005002440087;AN57;20/9/2022;17:29:35;15/10/2021;BRAMAN;;NO;238
991 005002440095;1266;20/9/2022;17:31:10;15/10/2021;BRANGUS C;;SI;234
991 005002440079;1267;20/9/2022;17:32:37;15/10/2021;BRANGUS C;;SI;164
991 005002440090;AN58;20/9/2022;17:34:59;15/10/2021;BRANGUS C;;NO;180
991 005002440093;1268;20/9/2022;17:38:49;15/10/2021;BRANGUS C;;SI;190
991 005002440064;1269;20/9/2022;17:39:54;15/10/2021;BRANGUS C;;SI;170
991 005002440078;AN59;20/9/2022;17:41:47;15/10/2021;BRANGUS C;;NO;192
991 005002440068;1270;20/9/2022;17:43:49;15/10/2021;BRANGUS C;;SI;174
991 005002440082;1271;20/9/2022;17:45:09;15/10/2021;BRANGUS C;;SI;186
991 005002440105;AN60;20/9/2022;17:46:43;15/10/2021;BRANGUS C;;NO;198
