Núm. Archivo: 39
Nombre: PASTURA_2015
Fecha: 15/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005002425897;1097;15/9/2022;08:58:37;15/9/2021;BRANGUS C;;SI;242
991 005002425864;1098;15/9/2022;09:01:00;15/9/2021;BRANGUS C;;SI;234
991 005002425910;1099;15/9/2022;09:02:21;15/9/2021;BRANGUS C;;SI;256
991 005002425868;1100;15/9/2022;09:04:19;15/9/2021;BRANGUS C;;SI;224
991 005002425872; 1102;15/9/2022;09:06:04;15/9/2021;BRANGUS C;;SI;220
991 005002425908; 1103;15/9/2022;09:07:46;15/9/2021;BRANGUS C;;SI;220
991 005002425887;AI09;15/9/2022;09:09:54;15/9/2021;BRANGUS C;;NO;216
991 005002425902;1104;15/9/2022;09:12:24;15/9/2021;BRANGUS C;;SI;218
991 005002425886;1105;15/9/2022;09:13:59;15/9/2021;BRANGUS C;;SI;190
991 005002425912;1106;15/9/2022;09:15:23;15/9/2021;BRANGUS C;;SI;238
991 005002425904;1107;15/9/2022;09:16:47;15/9/2021;BRANGUS C;;SI;220
991 005002425898;1108;15/9/2022;09:18:32;15/9/2021;BRANGUS C;;SI;236
991 005002425874;AI14;15/9/2022;09:20:02;15/9/2021;BRANGUS C;;NO;222
991 005002425895;1109;15/9/2022;09:21:23;15/9/2021;BRANGUS C;;SI;240
991 005002425899;AI18;15/9/2022;09:24:39;15/9/2021;BRANGUS C;;NO;226
991 005002425896;1120;15/9/2022;09:26:17;15/9/2021;BRANGUS C;;SI;194
991 005002425890;1122;15/9/2022;09:28:17;15/9/2021;BRANGUS C;;SI;230
991 005002425891;AI19;15/9/2022;09:29:43;15/9/2021;BRANGUS C;;NO;198
991 005002425863;1123;15/9/2022;09:33:38;15/9/2021;BRANGUS C;;SI;222
991 005002425865;1124;15/9/2022;09:35:43;15/9/2021;BRANGUS C;;SI;224
991 005002425892;1125;15/9/2022;09:37:27;15/9/2021;BRANGUS C;;SI;212
991 005002425869;1126;15/9/2022;09:39:04;15/9/2021;BRANGUS C;;SI;244
991 005002425900;1127;15/9/2022;09:41:29;15/9/2021;BRANGUS C;;SI;204
991 005002425881;1128;15/9/2022;09:48:02;15/9/2021;BRANGUS C;;SI;224
991 005003487037;AO00;15/9/2022;09:49:20;15/9/2021;BRANGUS C;;NO;218
991 005003487051;1129;15/9/2022;09:52:38;15/9/2021;BRANGUS C;;SI;218
991 005003487076;1130;15/9/2022;09:54:25;15/9/2021;BRANGUS C;;SI;204
991 005003487072;1132;15/9/2022;09:56:03;15/9/2021;BRANGUS C;;SI;190
991 005003487085;1133;15/9/2022;09:58:31;15/9/2021;BRANGUS C;;SI;230
991 005003487083;1134;15/9/2022;10:00:06;15/9/2021;BRANGUS C;;SI;190
991 005003487084;1135;15/9/2022;10:01:48;15/9/2021;BRANGUS C;;SI;202
991 005003487042;1136;15/9/2022;10:03:19;15/9/2021;BRANGUS C;;SI;218
991 005003487038;1137;15/9/2022;10:07:46;15/9/2021;BRANGUS C;;SI;208
991 005003487063;1138;15/9/2022;10:09:04;15/9/2021;BRANGUS C;;SI;194
991 005003487039;1139;15/9/2022;10:10:28;15/9/2021;BRANGUS C;;SI;222
991 005003487064;1140;15/9/2022;10:12:00;15/9/2021;BRANGUS C;;SI;216
991 005003487071;1142;15/9/2022;10:13:43;15/9/2021;BRANGUS C;;SI;216
991 005003487067;AO01;15/9/2022;10:15:15;15/9/2021;BRANGUS C;;NO;202
991 005003487057;1143;15/9/2022;10:16:46;15/9/2021;BRANGUS C;;SI;222
