Núm. Archivo: 45
Nombre: PINITO_1
Fecha: 22/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID;C11NOTA(12)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO;NOTA
991 005003487229;1372;22/9/2022;09:50:18;15/9/2021;BRANGUS C;;SI;200;
991 005003487197;1373;22/9/2022;09:52:47;15/9/2021;BRANGUS C;;SI;192;
991 005003487190;AN01;22/9/2022;09:57:58;15/9/2021;BRAFORD;;NO;238;
991 005003487220;AN02;22/9/2022;10:00:04;15/9/2021;BRAMAN;;NO;232;
991 005003487210;AM03;22/9/2022;10:01:12;15/9/2021;BRANGUS C;;NO;236;
991 005003487228;AN04;22/9/2022;10:02:11;15/9/2021;BRAFORD;;NO;220;
991 005003487216;AN05;22/9/2022;10:03:14;15/9/2021;BRANGUS C;;NO;244;
991 005003487201;AN06;22/9/2022;10:04:20;15/9/2021;BRAFORD;;NO;238;
991 005003487233;AN07;22/9/2022;10:05:38;15/9/2021;BRANGUS C;;NO;226;
991 005003487232;AN08;22/9/2022;10:08:40;15/9/2021;BRANGUS C;;NO;216;
991 005003487188;AN09;22/9/2022;10:09:52;15/9/2021;BRANGUS C;;NO;214;
991 005003487219;AN10;22/9/2022;10:10:46;15/9/2021;BRANGUS C;;NO;236;
991 005003487222;AN11;22/9/2022;10:11:35;15/9/2021;BRAFORD;;NO;218;
991 005003487230;AN12;22/9/2022;10:12:40;15/9/2021;BRAMAN;;NO;230;
991 005003487231;1374;22/9/2022;10:17:41;15/9/2021;BRANGUS C;;SI;212;(VID changed from "AN13")
991 005003487192;AN13;22/9/2022;10:18:26;15/9/2021;BRANGUS C;;NO;220;
991 005003487207;AN14;22/9/2022;10:23:19;15/9/2021;BRAFORD;;NO;208;
991 005003487209;AN15;22/9/2022;10:24:23;15/9/2021;BRANGUS C;;NO;196;
991 005003487208;AN16;22/9/2022;10:26:01;15/9/2021;BRAFORD;;NO;230;
991 005003487221;AN17;22/9/2022;10:27:35;15/9/2021;BRAMAN;;NO;228;
991 005003487206;AN18;22/9/2022;10:29:15;15/9/2021;BRANGUS C;;NO;212;
991 005003487225;AN19;22/9/2022;10:31:07;15/9/2021;BRAFORD;;NO;252;
991 005003487224;AN20;22/9/2022;10:32:28;15/9/2021;BRAFORD;;NO;224;
991 005003487234;AN21;22/9/2022;10:33:39;15/9/2021;BRAFORD;;NO;222;
991 005003487211;AN22;22/9/2022;10:35:14;15/9/2021;BRANGUS C;;NO;236;
991 005003487217;AN23;22/9/2022;10:37:57;15/9/2021;BRAFORD;;NO;232;
991 005003487202;AN24;22/9/2022;10:39:20;15/9/2021;BRAFORD;;NO;202;
991 005003487212;AL75;22/9/2022;10:40:55;15/9/2021;BRANGUS C;;NO;218;
991 005003487203;AL76;22/9/2022;10:43:03;15/9/2021;BRAMAN;;NO;232;
991 005003487194;AL77;22/9/2022;10:45:20;15/9/2021;BRAMAN;;NO;242;
991 005003487223;AL78;22/9/2022;10:46:39;15/9/2021;BRAMAN;;NO;216;
991 005003487214;AL79;22/9/2022;10:47:56;15/9/2021;BRANGUS C;;NO;212;
991 005003487186;AL80;22/9/2022;10:55:59;15/9/2021;BRAMAN;;NO;232;
991 005003487235;AL81;22/9/2022;10:57:22;15/9/2021;BRAFORD;;NO;294;
991 005003487204;1375;22/9/2022;10:58:46;15/9/2021;BRANGUS C;;SI;220;
991 005003487200;AL82;22/9/2022;11:00:03;15/9/2021;BRANGUS C;;NO;236;
991 005003487191;AL83;22/9/2022;11:02:02;15/9/2021;BRANGUS C;;NO;240;
991 005003487226;AL84;22/9/2022;11:03:35;15/9/2021;BRANGUS C;;NO;244;
991 005003487195;AL85;22/9/2022;11:05:36;15/9/2021;BRANGUS C;;NO;236;
