Núm. Archivo: 44
Nombre: P_TAJAMAR_6
Fecha: 21/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID;C11NOTA(12)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO;NOTA
991 005003487105;1275;21/9/2022;10:06:08;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;224;
991 005003487128;1276;21/9/2022;10:07:38;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;238;
991 005003487115;1277;21/9/2022;10:11:31;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;210;
991 005003487102;1278;21/9/2022;10:13:19;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;222;
991 005003487103;1279;21/9/2022;10:14:48;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;210;
991 005003487134;1280;21/9/2022;10:22:37;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;214;
991 005003487100;1281;21/9/2022;10:24:01;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;228;
991 005003487091;1282;21/9/2022;10:27:21;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;212;
991 005003487109;1283;21/9/2022;10:28:51;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;244;
991 005003487111;1283;21/9/2022;10:32:43;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;258;
991 005003487129;1285;21/9/2022;10:33:39;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;218;
991 005003487120;1286;21/9/2022;10:34:50;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;210;
991 005003487088;1287;21/9/2022;10:37:09;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;226;
991 005003487117;1288;21/9/2022;10:37:57;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;214;
991 005003487112;1289;21/9/2022;10:38:50;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;240;
991 005003487099;1290;21/9/2022;10:40:19;30/8/2021;BRANGUS C;PAST TAJAMAR;SI;236;
