Núm. Archivo: 38
Nombre: RAYGRAS_HC1
Fecha: 14/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005002425778;1001;14/9/2022;07:31:48;15/9/2021;BRANGUS C;RAYGRAS;SI;192
991 005002425775;2001;14/9/2022;07:41:18;15/9/2021;BRANGUS C;RAYGRAS;SI;224
991 005002425802;1002;14/9/2022;07:43:59;15/9/2021;BRANGUS C;RAYGRAS;SI;210
991 005002425812;1003;14/9/2022;07:45:48;15/9/2021;BRANGUS C;RAYGRAS;SI;198
991 005002425763;1004;14/9/2022;07:50:18;15/9/2021;BRANGUS C;RAYGRAS;SI;220
991 005002425792;1005;14/9/2022;07:53:26;15/9/2021;BRANGUS C;RAYGRAS;SI;176
991 005002425774;1006;14/9/2022;07:56:06;15/9/2021;BRANGUS C;RAYGRAS;SI;202
991 005002425769;1007;14/9/2022;07:59:33;15/9/2021;BRANGUS C;RAYGRAS;SI;202
991 005002425779;1008;14/9/2022;08:05:57;15/9/2021;BRANGUS C;RAYGRAS;SI;176
991 005002425799;AF52;14/9/2022;08:10:48;15/9/2021;BRANGUS C;RAYGRAS;NO;196
991 005002425808;1009;14/9/2022;08:13:36;15/9/2021;BRANGUS C;RAYGRAS;SI;234
991 005002425793;1010;14/9/2022;08:16:31;15/9/2021;BRANGUS C;RAYGRAS;SI;214
991 005002425766;1012;14/9/2022;08:20:16;15/9/2021;BRANGUS C;RAYGRAS;SI;214
991 005002425791;1013;14/9/2022;08:22:49;15/9/2021;BRANGUS C;RAYGRAS;SI;198
991 005002425797;1014;14/9/2022;08:26:14;15/9/2021;BRANGUS C;RAYGRAS;SI;188
991 005002425771;1015;14/9/2022;08:27:22;15/9/2021;BRANGUS C;RAYGRAS;SI;220
991 005002425765;1016;14/9/2022;08:30:47;15/9/2021;BRANGUS C;RAYGRAS;SI;160
