Núm. Archivo: 41
Nombre: GALPON_1
Fecha: 16/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005002439963;AL16;16/9/2022;07:08:53;15/9/2021;BRAMAN;GALPON 1;NO;254
991 005002439996;AL17;16/9/2022;07:17:48;15/9/2021;BRAFORD;GALPON 1;NO;238
991 005002439991;AL20;16/9/2022;07:19:14;15/9/2021;BRAFORD;GALPON 1;NO;246
991 005002439981;AL21;16/9/2022;07:21:17;15/9/2021;BRAFORD;GALPON 1;NO;264
991 005002439971;AL22;16/9/2022;07:22:32;15/9/2021;BRANGUS C;GALPON 1;NO;226
991 005002439990;AL18;16/9/2022;07:25:55;15/9/2021;BRAFORD;GALPON 1;NO;234
991 005002439989;AL23;16/9/2022;07:30:23;15/9/2021;BRAFORD;GALPON 1;NO;244
991 005002439985;AL19;16/9/2022;07:32:02;15/9/2021;BRAFORD;GALPON 1;NO;274
991 005002440011;AL24;16/9/2022;07:34:07;15/9/2021;BRAMAN;GALPON 1;NO;254
991 005002439998;AN25;16/9/2022;07:36:17;15/9/2021;BRAFORD;GALPON 1;NO;252
991 005002439986;AN26;16/9/2022;07:39:36;15/9/2021;BRAFORD;GALPON 1;NO;252
991 005002439968;AN27;16/9/2022;08:03:45;15/9/2021;BRAFORD;GALPON 1;NO;230
991 005002439987;AN28;16/9/2022;08:05:22;15/9/2021;BRAFORD;GALPON 1;NO;250
991 005002439964;AN29;16/9/2022;08:07:55;15/9/2021;BRAMAN;GALPON 1;NO;258
991 005002440009;AN30;16/9/2022;08:11:20;15/9/2021;BRAMAN;GALPON 1;NO;224
991 005002439976;AN31;16/9/2022;08:14:38;15/9/2021;BRANGUS C;GALPON 1;NO;220
991 005002439992;AN32;16/9/2022;08:17:56;15/9/2021;BRANGUS C;GALPON 1;NO;254
991 005002439994;AN33;16/9/2022;08:20:50;15/9/2021;BRANGUS C;GALPON 1;NO;244
991 005002439979;AN34;16/9/2022;08:26:57;15/9/2021;BRAFORD;GALPON 1;NO;252
991 005002439980;AN35;16/9/2022;08:28:23;15/9/2021;BRAMAN;GALPON 1;NO;254
991 005002439966;1202;16/9/2022;08:29:41;15/9/2021;BRANGUS N;GALPON 1;SI;274
991 005002439977;AN36;16/9/2022;08:32:58;15/9/2021;BRAFORD;GALPON 1;NO;240
991 005002439995;AN37;16/9/2022;08:37:33;15/9/2021;BRANGUS C;GALPON 1;NO;272
991 005002440006;AN38;16/9/2022;08:41:54;15/9/2021;BRAFORD;GALPON 1;NO;238
991 005002440002;AN39;16/9/2022;08:43:13;15/9/2021;BRANGUS C;GALPON 1;NO;258
991 005002440007;AN40;16/9/2022;08:44:33;15/9/2021;BRAFORD;GALPON 1;NO;224
991 005002439970;AN41;16/9/2022;08:46:13;15/9/2021;BRAFORD;GALPON 1;NO;260
991 005002440004;AN42;16/9/2022;08:47:54;15/9/2021;BRAMAN;GALPON 1;NO;250
991 005002439993;AN43;16/9/2022;08:48:56;15/9/2021;BRAFORD;GALPON 1;NO;244
991 005002439969;AN44;16/9/2022;08:50:06;15/9/2021;BRANGUS C;GALPON 1;NO;230
991 005002439967;1203;16/9/2022;08:51:41;15/9/2021;BRANGUS C;GALPON 1;SI;184
991 005002439973;AN45;16/9/2022;08:54:04;15/9/2021;BRAFORD;GALPON 1;NO;224
991 005002439974;AN46;16/9/2022;08:57:52;15/9/2021;BRANGUS C;GALPON 1;NO;254
991 005002440010;AN47;16/9/2022;08:58:55;15/9/2021;BRAFORD;GALPON 1;NO;216
991 005002439997;AN48;16/9/2022;09:00:31;15/9/2021;BRANGUS C;GALPON 1;NO;242
991 005002440012;AN49;16/9/2022;09:02:11;15/9/2021;BRAFORD;GALPON 1;NO;252
991 005002440001;AN7J;16/9/2022;09:06:45;15/9/2021;BRANGUS C;GALPON 1;NO;212
991 005002439982;AN76;16/9/2022;09:08:52;15/9/2021;BRANGUS C;GALPON 1;NO;260
991 005002439975;AN77;16/9/2022;09:10:38;15/9/2021;BRAFORD;GALPON 1;NO;242
991 005002440008;AN78;16/9/2022;09:14:23;15/9/2021;BRANGUS C;GALPON 1;NO;252
991 005002439984;AN79;16/9/2022;09:15:22;15/9/2021;BRAFORD;GALPON 1;NO;238
991 005002439988;AN80;16/9/2022;09:16:50;15/9/2021;BRANGUS C;GALPON 1;NO;236
991 005002439999;AN81;16/9/2022;09:17:58;15/9/2021;BRANGUS C;GALPON 1;NO;246
991 005002440000;AN82;16/9/2022;09:19:49;15/9/2021;BRAFORD;GALPON 1;NO;216
991 005002440020;AN83;16/9/2022;09:21:17;15/9/2021;BRAFORD;GALPON 1;NO;216
991 005002440045;AN84;16/9/2022;09:22:34;15/9/2021;BRAMAN;GALPON 1;NO;232
991 005002440040;AN85;16/9/2022;09:24:02;15/9/2021;BRAFORD;GALPON 1;NO;242
991 005002440041;AN86;16/9/2022;09:25:18;15/9/2021;BRAMAN;GALPON 1;NO;188
